2024-07-09 21:58:11,190 - INFO - Step: 27, Action: 0, Reward: 14.508657238495339, State: 3
2024-07-09 21:58:11,190 - INFO - Step: 28, Action: 2, Reward: 10.299471163091722, State: 7
2024-07-09 21:58:11,191 - INFO - Step: 29, Action: 1, Reward: 6.0296496916382925, State: 7
2024-07-09 21:58:11,191 - INFO - Step: 30, Action: 2, Reward: 10.299471163091722, State: 7
2024-07-09 21:58:11,191 - INFO - Step: 31, Action: 0, Reward: 14.508657238495339, State: 3
2024-07-09 21:58:11,192 - INFO - Step: 32, Action: 0, Reward: 14.508657238495339, State: 3
2024-07-09 21:58:11,192 - INFO - Step: 33, Action: 2, Reward: 10.299471163091722, State: 7
2024-07-09 21:58:11,192 - INFO - Step: 34, Action: 0, Reward: 14.508657238495339, State: 3
2024-07-09 21:58:11,193 - INFO - Step: 35, Action: 0, Reward: 14.508657238495339, State: 3
2024-07-09 21:58:11,193 - INFO - Step: 36, Action: 0, Reward: 14.508657238495339, State: 3
2024-07-09 21:58:11,193 - INFO - Step: 37, Action: 1, Reward: 6.0296496916382925, State: 7
2024-07-09 21:58:11,194 - INFO - Step: 38, Action: 2, Reward: 10.299471163091722, State: 7
2024-07-09 21:58:11,194 - INFO - Step: 39, Action: 0, Reward: 14.508657238495339, State: 3
2024-07-09 21:58:11,194 - INFO - Step: 40, Action: 2, Reward: 10.299471163091722, State: 7
2024-07-09 21:58:11,195 - INFO - Step: 41, Action: 0, Reward: 14.508657238495339, State: 3
2024-07-09 21:58:11,195 - INFO - Step: 42, Action: 2, Reward: 10.299471163091722, State: 7
2024-07-09 21:58:11,195 - INFO - Step: 43, Action: 2, Reward: 10.299471163091722, State: 7
2024-07-09 21:58:11,196 - INFO - Step: 44, Action: 1, Reward: 6.0296496916382925, State: 7
2024-07-09 21:58:11,196 - INFO - Step: 45, Action: 2, Reward: 10.299471163091722, State: 7
2024-07-09 21:58:11,196 - INFO - Step: 46, Action: 1, Reward: 6.0296496916382925, State: 7
2024-07-09 21:58:11,196 - INFO - Step: 47, Action: 1, Reward: 6.0296496916382925, State: 7
2024-07-09 21:58:11,197 - INFO - Step: 48, Action: 2, Reward: 10.299471163091722, State: 7
2024-07-09 21:58:11,197 - INFO - Step: 49, Action: 0, Reward: 14.508657238495339, State: 3
2024-07-09 21:58:11,197 - INFO - Step: 50, Action: 2, Reward: 10.299471163091722, State: 7
2024-07-09 21:58:11,198 - INFO - Step: 51, Action: 0, Reward: 14.508657238495339, State: 3
2024-07-09 21:58:11,198 - INFO - Step: 52, Action: 2, Reward: 10.299471163091722, State: 7
2024-07-09 21:58:11,198 - INFO - Step: 53, Action: 1, Reward: 6.0296496916382925, State: 7
2024-07-09 21:58:11,199 - INFO - Step: 54, Action: 1, Reward: 6.0296496916382925, State: 7
2024-07-09 21:58:11,199 - INFO - Step: 55, Action: 0, Reward: 14.508657238495339, State: 3
2024-07-09 21:58:11,199 - INFO - Step: 56, Action: 1, Reward: 6.0296496916382925, State: 7
2024-07-09 21:58:11,200 - INFO - Step: 57, Action: 1, Reward: 6.0296496916382925, State: 7
2024-07-09 21:58:11,201 - INFO - Step: 58, Action: 0, Reward: 14.508657238495339, State: 3
2024-07-09 21:58:11,201 - INFO - Step: 59, Action: 1, Reward: 6.0296496916382925, State: 7
2024-07-09 21:58:11,202 - INFO - Step: 60, Action: 0, Reward: 14.508657238495339, State: 3
2024-07-09 21:58:11,202 - INFO - Step: 61, Action: 2, Reward: 10.299471163091722, State: 7
2024-07-09 21:58:11,203 - INFO - Step: 62, Action: 0, Reward: 14.508657238495339, State: 3
2024-07-09 21:58:11,203 - INFO - Step: 63, Action: 1, Reward: 6.0296496916382925, State: 7
2024-07-09 21:58:11,203 - INFO - Step: 64, Action: 0, Reward: 14.508657238495339, State: 3
2024-07-09 21:58:11,204 - INFO - Step: 65, Action: 2, Reward: 10.299471163091722, State: 7
2024-07-09 21:58:11,204 - INFO - Step: 66, Action: 2, Reward: 10.299471163091722, State: 7
2024-07-09 21:58:11,204 - INFO - Step: 67, Action: 0, Reward: 14.508657238495339, State: 3
2024-07-09 21:58:11,205 - INFO - Step: 68, Action: 2, Reward: 10.299471163091722, State: 7
2024-07-09 21:58:11,205 - INFO - Step: 69, Action: 2, Reward: 10.299471163091722, State: 7
2024-07-09 21:58:11,205 - INFO - Step: 70, Action: 2, Reward: 10.299471163091722, State: 7
2024-07-09 21:58:11,206 - INFO - Step: 71, Action: 0, Reward: 14.508657238495339, State: 3
2024-07-09 21:58:11,206 - INFO - Step: 72, Action: 1, Reward: 6.0296496916382925, State: 7
2024-07-09 21:58:11,207 - INFO - Step: 73, Action: 0, Reward: 14.508657238495339, State: 3
2024-07-09 21:58:11,207 - INFO - Step: 74, Action: 1, Reward: 6.0296496916382925, State: 7
2024-07-09 21:58:11,207 - INFO - Step: 75, Action: 0, Reward: 14.508657238495339, State: 3
2024-07-09 21:58:11,208 - INFO - Step: 76, Action: 2, Reward: 10.299471163091722, State: 7
2024-07-09 21:58:11,208 - INFO - Step: 77, Action: 1, Reward: 6.0296496916382925, State: 7
2024-07-09 21:58:11,208 - INFO - Step: 78, Action: 1, Reward: 6.0296496916382925, State: 7
2024-07-09 21:58:11,209 - INFO - Step: 79, Action: 2, Reward: 10.299471163091722, State: 7
2024-07-09 21:58:11,209 - INFO - Step: 80, Action: 1, Reward: 6.0296496916382925, State: 7
2024-07-09 21:58:11,209 - INFO - Step: 81, Action: 0, Reward: 14.508657238495339, State: 3
